id,AZ,non,non,non,EL,non,non,non,non;;;
4037771562,-81.804775001958,0,0,0;;;4037771400,-79.1684853189918,0,0,0
4037771562,-80.7768590103879,0,0,0;;;4037771400,-79.1696047789286,0,0,0
4037771562,-79.8051619665447,0,0,0;;;4037771400,-79.2100017288173,0,0,0
4037771562,-79.0145134217182,0,0,0;;;4037771400,-79.2596322961685,0,0,0
4037771562,-78.4065219354036,0,0,0;;;4037771400,-79.2596322961685,0,0,0
4037771562,-78.0322431836148,0,0,0;;;4037771400,-79.1126954834227,0,0,0
4037771562,-77.4434373442267,0,0,0;;;4037771400,-79.0021794605441,0,0,0
4037771562,-76.6212936596559,0,0,0;;;4037771400,-78.7842074956609,0,0,0
4037771562,-75.8369746691407,0,0,0;;;4037771400,-78.5663482311609,0,0,0
4037771562,-75.6020519762322,0,0,0;;;4037771400,-78.2504815378105,0,0,0
4037771562,-75.5960339517326,0,0,0;;;4037771400,-77.9876133828483,0,0,0
4037771562,-75.809956682787,0,0,0;;;4037771400,-77.9262734746083,0,0,0
4037771562,-75.7225334030535,0,0,0;;;4037771400,-77.8211581725841,0,0,0
4037771562,-75.6579172623095,0,0,0;;;4037771400,-77.7657395148627,0,0,0
4037771562,-75.5960339517326,0,0,0;;;4037771400,-77.7391117051142,0,0,0
4037771562,-75.6768721616747,0,0,0;;;4037771400,-77.7962715909452,0,0,0
4037771562,-76.0008716047283,0,0,0;;;4037771400,-77.8470776237618,0,0,0
4037771562,-76.4702965560705,0,0,0;;;4037771400,-78.0661348703143,0,0,0
4037771562,-77.0862391926164,0,0,0;;;4037771400,-78.307064046953,0,0,0
4037771562,-77.7482532863729,0,0,0;;;4037771400,-78.6545252806082,0,0,0
4037771562,-78.7791954809961,0,0,0;;;4037771400,-79.147242947338,0,0,0
4037771562,-79.468698812644,0,0,0;;;4037771400,-79.6116863765852,0,0,0
4037771562,-80.5053398491129,0,0,0;;;4037771400,-80.1561373961506,0,0,0
4037771562,-81.5413855088055,0,0,0;;;4037771400,-80.9268006214592,0,0,0
4037771562,-82.6974977182904,0,0,0;;;4037771400,-81.4507671690867,0,0,0
4037771562,-83.5938371768177,0,0,0;;;4037771400,-82.0503955883499,0,0,0
4037771562,-84.2527242943094,0,0,0;;;4037771400,-82.5893154982112,0,0,0
4037771562,-83.9445184771197,0,0,0;;;4037771400,-83.3412401480732,0,0,0
4037771562,-83.2858801630392,0,0,0;;;4037771400,-83.5871961930044,0,0,0
4037771562,-82.3879715959573,0,0,0;;;4037771400,-83.5463344535715,0,0,0
4037771562,-81.3074922143916,0,0,0;;;4037771400,-83.4706922008409,0,0,0
4037771562,-80.2369177891792,0,0,0;;;4037771400,-83.1568080214906,0,0,0
4037771562,-79.2712969285672,0,0,0;;;4037771400,-82.8538722578839,0,0,0
4037771562,-78.5680659920893,0,0,0;;;4037771400,-82.2939929072942,0,0,0
4037771562,-77.9994549545564,0,0,0;;;4037771400,-81.9372682187254,0,0,0
4037771562,-77.5069234650277,0,0,0;;;4037771400,-81.6644620323731,0,0,0
4037771562,-77.214848108611,0,0,0;;;4037771400,-81.3379524299324,0,0,0
4037771562,-76.9603866435822,0,0,0;;;4037771400,-81.1138246094021,0,0,0
4037771562,-76.8094831786828,0,0,0;;;4037771400,-80.9240599447344,0,0,0
4037771562,-76.6187554101819,0,0,0;;;4037771400,-80.9144743805475,0,0,0
4037771562,-76.6119903689886,0,0,0;;;4037771400,-80.9172120339113,0,0,0
4037771562,-76.7302891464294,0,0,0;;;4037771400,-80.988695583879,0,0,0
4037771562,-77.1597538958271,0,0,0;;;4037771400,-81.2763805838332,0,0,0
4037771562,-77.7714066683633,0,0,0;;;4037771400,-81.5591682443598,0,0,0
4037771562,-78.6296946803867,0,0,0;;;4037771400,-81.7408911610371,0,0,0
4037771562,-79.7795614311841,0,0,0;;;4037771400,-81.6049846818453,0,0,0
4037771562,-81.3686658326914,0,0,0;;;4037771400,-81.5931379291598,0,0,0
4037771562,-83.7539327084221,0,0,0;;;4037771400,-81.2663984406452,0,0,0
4037771562,-86.8090724472701,0,0,0;;;4037771400,-80.7854198457244,0,0,0
4037771562,-89.1305641626118,0,0,0;;;4037771400,-80.3143431692859,0,0,0
4037771562,-86.468563417809,0,0,0;;;4037771400,-79.6826547537254,0,0,0
